time,conc (mM)
0.0,0.0
0.2140672782568807,0.006499426610961269
0.4281345565137614,0.01311924114033625
0.6422018347706422,0.01985021485383332
0.8562691130275228,0.026683119017160858
1.0703363912844035,0.033608724896027245
1.2844036695412844,0.04061780375614087
1.498470947798165,0.047701126863210104
1.7125382260550457,0.054849465482943324
1.9266055043119263,0.06205359088104892
2.140672782568807,0.06930427432323527
2.3547400608256877,0.07659228707521074
2.5688073390825688,0.08390840040268373
2.7828746173394494,0.09124338557136262
2.99694189559633,0.09858801384695577
3.2110091738532107,0.1059330564951716
3.4250764521100914,0.11326928478171847
3.639143730366972,0.12058746997230471
3.8532110086238527,0.12787838333263876
4.067278286880733,0.13513279612842902
4.281345565137614,0.1423414796253838
4.495412843394495,0.14949520508921155
4.709480121651375,0.15658475371065234
4.923547399908256,0.16360301078731296
5.1376146781651375,0.1705475561571814
5.351681956422018,0.1774166048603364
5.565749234678899,0.18420837193685677
5.7798165129357795,0.19092107242682135
5.99388379119266,0.19755292137030886
6.207951069449541,0.20410213380739822
6.422018347706421,0.21056692477816813
6.636085625963302,0.21694550932269735
6.850152904220183,0.2232361024810648
7.064220182477063,0.22943699118626742
7.278287460733944,0.2355520247532308
7.492354738990825,0.24159448112045925
7.706422017247705,0.24757855153285094
7.920489295504586,0.25351842723530377
8.134556573761467,0.25942829947271606
8.348623852018347,0.26532235948998595
8.562691130275228,0.27121479853201136
8.776758408532109,0.27711980784369067
8.99082568678899,0.2830515786699218
9.20489296504587,0.28902430225560305
9.41896024330275,0.29505197262189875
9.633027521559631,0.30113573788321485
9.847094799816512,0.30725622991226564
10.061162078073393,0.31339224307805347
10.275229356330275,0.319522571749581
10.489296634587156,0.3256260102958505
10.703363912844036,0.3316813530858642
10.917431191100917,0.3376673944886252
11.131498469357798,0.3435629288731354
11.345565747614678,0.34934675060839737
11.559633025871559,0.3549976540634137
11.77370030412844,0.3604948601956311
11.98776758238532,0.3658412773594051
12.201834860642201,0.37107547242710925
12.415902138899082,0.3762389593791815
12.629969417155962,0.38137325219605966
12.844036695412843,0.38651986485818174
13.058103973669724,0.39172031134598573
13.272171251926604,0.3970161056399092
13.486238530183485,0.4024487617203904
13.700305808440365,0.40805979356786704
13.914373086697246,0.41389071516277703
14.128440364954127,0.4199812418651034
14.342507643211007,0.4263164944243612
14.556574921467888,0.4328184502725342
14.770642199724769,0.43940556712957807
14.98470947798165,0.445996302715448
15.19877675623853,0.4525091147500997
15.41284403449541,0.4588624609534885
15.626911312752291,0.46497479904557015
15.840978591009172,0.4707645867462999
16.055045869266053,0.47615028177563323
16.269113147522933,0.48105034185352585
16.483180425779814,0.48539063453570913
16.697247704036695,0.48919873061225183
16.911314982293575,0.4925760523235402
17.125382260550456,0.4956256819600574
17.339449538807337,0.4984507018122864
17.553516817064217,0.5011541941707105
17.767584095321098,0.5038392413258127
17.98165137357798,0.5066089255680762
18.19571865183486,0.5095663291879842
18.40978593009174,0.5128145344760197
18.62385320834862,0.5164566237226658
18.8379204866055,0.5205806124359321
19.051987764862382,0.5251631631745893
19.266055043119263,0.5301310297720517
19.480122321376143,0.5354107306431337
19.694189599633024,0.5409287842026498
19.908256877889905,0.5466117088654143
20.122324156146785,0.5523860230462416
20.336391434403666,0.5581782451599462
20.55045871266055,0.5639148936213426
20.76452599091743,0.5695224868452449
20.97859326917431,0.5749275432464678
21.192660547431192,0.5800565812398258
21.406727825688073,0.5848361192401332
21.620795103944953,0.5891926756622041
21.834862382201834,0.5930527689208536
22.048929660458715,0.5963429174308954
22.262996938715595,0.5989896396071445
22.477064216972476,0.6009194538644149
22.691131495229357,0.6020588786175213
22.905198773486237,0.602334432281278
23.119266051743118,0.6016726332704994
23.33333333,0.6
